term,definition,aliases
2N Redundancy,"2N Redundancy — a fault-tolerant design providing two independent, identical sets of critical infrastructure (2× capacity) for power or cooling; ensures full redundancy by allowing one entire system to fail or be taken offline for maintenance without impacting operations.","2N; N+N; dual redundancy; fully redundant; 2N configuration"
Adiabatic Cooling,"Adiabatic Cooling — cooling technique that pre-cools air through evaporation of water (an adiabatic process) before it enters data center heat exchangers; this evaporation lowers the air temperature and reduces the need for mechanical chilling, improving energy efficiency.","adiabatic cooling; evaporative cooling; adiabatic cooling system; indirect evaporative cooling; evaporative cooling system"
ATS,"Automatic Transfer Switch — an electrical switchgear device that automatically transfers the power supply from a primary source (utility) to a backup source (generator) when the primary source fails; ensures critical loads receive near-instantaneous power from generators during a utility outage.","automatic transfer switch; ATS; auto transfer switch; transfer switch; backup power switch"
Cabinet,"Cabinet — an enclosed server rack with doors and side panels, used to secure and organize IT equipment; provides the same 19-inch rack mounting rails as an open rack, but offers additional security, airflow control, and containment of hot exhaust and cold intake air.","server cabinet; IT cabinet; rack cabinet; enclosed rack; equipment cabinet"
Chiller,"Chiller — an industrial cooling system component that removes heat from water via a refrigeration cycle, producing chilled water for air conditioning; in data centers, chillers supply cold water to CRAH units or cooling coils, which then cool the air circulating through IT equipment.","chiller; water chiller; chilled water unit; chiller unit; chiller system"
Colocation,"Colocation — practice of renting space for servers and other IT hardware in a third-party data center facility; the provider supplies power, cooling, connectivity, and security, while the customer owns and manages the equipment.","colo; co-location; colocation facility; multi-tenant data center; colocation hosting"
Cooling Tower,"Heat rejection device that dissipates waste heat from a water-cooled chiller system to the atmosphere.","cooling towers; CT; evaporative cooling tower"
CRAC,"Computer Room Air Conditioner — cooling unit using direct expansion (DX) refrigeration to control temperature and humidity in a data center; circulates chilled air to remove heat from IT equipment.","computer room air conditioner; CRAC unit; data center AC; DX cooling unit"
CRAH,"Computer Room Air Handler — cooling unit using chilled water and air handlers to regulate temperature and humidity in a data center; similar to a CRAC but uses a chilled water heat exchanger instead of a direct expansion cycle.","computer room air handler; CRAH unit; chilled water air handler; CRAH cooling"
Cross Connect,"Cross Connect — a physical, point-to-point cable link that directly interconnects two different networks, carriers, or systems inside a data center; usually provisioned in a meet-me room or main distribution area to enable secure, low-latency connections between parties.","cross connect; cross-connect; cross connection; interconnect; interconnect cable"
Data Center,"A specialized facility designed to house computer systems, IT infrastructure, servers, storage arrays, and networking equipment. Data centers provide controlled environments with redundant power, cooling, and security systems to ensure 24/7 operations.","datacenter; DC; data centre; server farm; colocation facility; colo"
DCIM,"Data Center Infrastructure Management — software systems that monitor, manage, and optimize data center resources (power, cooling, space, and equipment); provides real-time visibility into operations, asset tracking, and capacity planning to improve efficiency and uptime.","data center infrastructure management; DCIM software; DCIM platform; data center management software; DCIM tool"
DCiE,"Data Center Infrastructure Efficiency — percentage measure of data center energy efficiency; defined as the ratio of IT equipment power to total data center power (inverse of PUE), where higher percentages indicate better efficiency.","data center infrastructure efficiency; DCIE; data center efficiency; DCiE metric"
Edge Computing,"Edge Computing — deploying data processing and storage resources at locations closer to end users or devices to reduce network latency and bandwidth usage; often involves small, distributed micro data centers for real-time processing and faster local response.","edge data center; edge site; micro data center; distributed edge; edge architecture"
Free Cooling,"Free Cooling — method of cooling a data center using naturally cool ambient air or water (from outside environment) to dissipate heat instead of relying solely on chillers or compressors; often implemented via air-side or water-side economizers to improve energy efficiency.","free cooling; economizer cooling; air-side economizer; water-side economizer; ambient cooling"
Hot Aisle/Cold Aisle,"Hot Aisle/Cold Aisle — arrangement of server racks to separate hot exhaust air from cold intake air; ensures that equipment intakes receive cooled air while hot return air is isolated, improving overall cooling efficiency and preventing hot–cold air mixing.","hot aisle cold aisle; hot/cold aisle; hot aisle containment; cold aisle containment; aisle segregation"
Hyperscale,"Hyperscale — describes extremely large-scale data centers designed for cloud providers or major internet companies; characterized by thousands of servers and high-density infrastructure, enabling massive scalability to handle vast workloads for a global user base.","hyperscale data center; hyper-scale; mega data center; web-scale data center; cloud data center"
